uni_data_2
name,postcode,street_name,longitude,latitude
University College Falmouth,"TR11 4RH,",Woodlane,-5.070901,50.149168
"University of Oxford,","OX1 2JD,",WELLINGTON SQUARE,-1.262868,51.757644
"University of Lancaster,","LA1 4YW,",none,-2.786905,54.01048
"Bath Spa University,","BA2 9BN,",none,-2.4374,51.378739
"Cardiff University,","CF10 3AT,",PARK PLACE,-3.179907,51.489093
"University of Southampton,","SO17 1BJ,",UNIVERSITY ROAD,-1.395675,50.93418
"The Royal Veterinary College,","NW1 0TU,",ROYAL COLLEGE STREET,-0.133498,51.536862
"University of Derby,","DE22 1GB,",KEDLESTON ROAD,-1.496677,52.938545
"Bournemouth University,","BH12 5BB,",FERN BARROW,-1.897159,50.742968
"University of the Arts, London,","WC1V 7EY,",HIGH HOLBORN,-0.117099,51.517742
"University of Stirling,","FK9 4LA,",none,-3.926787,56.149207
"Edge Hill University,","L39 4QP,",ST. HELENS ROAD,-2.873372,53.559906
"University of Surrey,","GU2 7XH,",none,-0.587925,51.242568
"University of Essex,","CO4 3SQ,",WIVENHOE PARK,0.945058,51.876569
"The Liverpool Institute for Performing Arts,","L1 9HF,",Mount Street,-2.972271,53.399674
"University of Reading,","RG6 6UR,",none,-0.947088,51.440564
"University of Sussex,","BN1 9RH,",SOUTHERN RING ROAD,-0.087049,50.864464
"University of Bedfordshire,","LU1 3JU,",UNIVERSITY SQUARE,-0.411382,51.87787
"University of Kent,","CT2 7NZ,",none,1.070918,51.298491
"Newman University College,","B32 3NT,",GENNERS LANE,-1.995022,52.434137
"University of Cambridge,","CB2 1TN,",TRINITY LANE,0.116642,52.205317
"De Montfort University,","LE1 9BH,",THE GATEWAY,-1.139356,52.631833
"University of Edinburgh,","EH1 1HT,",CHAMBERS STREET,-3.188111,55.948003
"University of Leeds,","LS2 9JT,",WOODHOUSE LANE,-1.552797,53.808494
"Northern School of Contemporary Dance,","LS7 4BH,",CHAPELTOWN ROAD,-1.533291,53.813246
"The Queen's University of Belfast,","BT7 1NN,",UNIVERSITY ROAD,-5.9348,54.5839
"Leeds Metropolitan University,","LS1 3HE,",none,-1.549143,53.803662
"Edinburgh Napier University,","EH11 4BN,",SIGHTHILL COURT,-3.28847,55.924071
"Cardiff Metropolitan University,","CF5 2SG,",none,-3.223617,51.483555
"University of Abertay Dundee,","DD1 1HG,",BELL STREET,-2.974381,56.463143
"University of the West of England, Bristol,","BS16 1QY,",COLDHARBOUR LANE,-2.547491,51.500205
"Courtauld Institute of Art,","WC2R 0RN,",STRAND,-0.116912,51.510734
"Brunel University,","UB8 3PH,",KINGSTON LANE,-0.472835,51.532849
"Royal College of Music,","SW7 2BS,",PRINCE CONSORT ROAD,-0.176889,51.499281
"The Manchester Metropolitan University,","M15 6BH,",GROSVENOR SQUARE,-2.239504,53.470699
"Bishop Grosseteste University College Lincoln,","LN1 3DY,",LONGDALES ROAD,-0.535716,53.244036
"Ravensbourne Limited,","SE10 0EW,",PENROSE WAY,0.005266,51.501478
"Kingston University,","KT1 1LQ,",HIGH STREET,-0.307824,51.406308
"University of Wolverhampton,","WV1 1LY,",WULFRUNA STREET,-2.128159,52.588308
"The City University,","EC1V 0HB,",NORTHAMPTON SQUARE,-0.102296,51.527791
"School of Pharmacy University of London(The),","WC1N 1AX,",BRUNSWICK SQUARE,-0.122432,51.525085
"University for the Creative Arts,","GU9 7DS,",FALKNER ROAD,-0.805496,51.215767
"St Mary's University College,","BT12 6FE,",FALLS ROAD,-5.9613,54.592
"The Robert Gordon University,","AB10 7FY,",GARTHDEE ROAD,-2.143673,57.118078
"Trinity Laban Conservatoire of Music and Dance Ltd,","SE10 9JF,",OLD ROYAL NAVAL COLLEGE KING WILLIAM WALK,-0.007171,51.483596
"University of the Highlands and Islands,","IV3 5SQ,",Ness Walk,-4.230795,57.469675
"Queen Mary and Westfield College, University of London,","E1 4NS,",MILE END ROAD,-0.040505,51.523412
"University of East London,","E16 2RD,",UNIVERSITY WAY,0.064797,51.507396
"Goldsmiths' College,","SE14 6NW,",LEWISHAM WAY,-0.035375,51.474144
"University of London,","WC1E 7HU,",MALET STREET,-0.127819,51.520998
"Teesside University,","TS1 3BA,",BOROUGH ROAD,-1.234709,54.572089
"University of Northumbria at Newcastle,","NE1 8ST,",ELLISON ROAD,-1.607512,54.976769
"Staffordshire University,","ST4 2DE,",COLLEGE ROAD,-2.182605,53.010097
"University of Gloucestershire,","GL50 2RH,",The Park,-2.088781,51.887504
"Birmingham City University,","B42 2SU,",FRANCHISE STREET,-1.897282,52.517286
"Central School of Speech and Drama(The),","NW3 3HY,",ETON AVENUE,-0.174179,51.544337
"University of Glasgow,","G12 8QQ,",UNIVERSITY AVENUE,-4.288345,55.871746
"Coventry University,","CV1 5FB,",PRIORY STREET,-1.505713,52.408016
"University of Portsmouth,","PO1 2UP,",WINSTON CHURCHILL AVENUE,-1.093571,50.795266
"Harper Adams University,","TF10 8NB,",none,-2.42538,52.780019
"Leeds College of Music,","LS2 7PD,",QUARRY HILL,-1.531256,53.798246
"Glasgow School of Art,","G3 6RQ,",RENFREW STREET,-4.263391,55.865953
"Prifysgol Aberystwyth,","SY23 2AX,",none,-4.043595,52.403488
"University of Winchester,","SO22 4NR,",SPARKFORD ROAD,-1.326928,51.060033
"University of Plymouth,","PL4 8AA,",DRAKE CIRCUS,-4.138393,50.375186
"University of East Anglia,","NR4 7TJ,",EARLHAM ROAD,1.241412,52.622394
"University of Bristol,","BS8 1TH,",TYNDALL AVENUE,-2.603292,51.459064
"University of St Andrews,","KY16 9AJ,",NORTH STREET,-2.793016,56.341205
"The University of Bolton,","BL3 5AB,",DEANE ROAD,-2.436236,53.573527
"Queen Margaret University, Edinburgh,","EH21 6UU,",QUEEN MARGARET UNIVERSITY DRIVE,-3.073062,55.931304
"University of Ulster,","BT52 1SA,",CROMORE ROAD,-6.6725,55.1468
"University of Warwick,","CV4 7AL,",GIBBET HILL ROAD,-1.561687,52.380079
"University of Leicester,","LE1 7RH,",UNIVERSITY ROAD,-1.123802,52.621937
"University College Birmingham,","B3 1JB,",SUMMER ROW,-1.905934,52.481855
"Glasgow Caledonian University,","G4 0BA,",COWCADDENS ROAD,-4.250553,55.866161
"The University of Westminster,","W1B 2HW,",REGENT STREET,-0.143341,51.516794
"University of Huddersfield,","HD1 3DH,",QUEENSGATE,-1.777712,53.64373
"Royal Agricultural College,","GL7 6JS,",Stroud Road,-1.994995,51.709495
"Heythrop College,","W8 5HN,",KENSINGTON SQUARE,-0.190884,51.499884
"Royal Welsh College of Music and Drama Limited,","CF10 3ER,",NORTH ROAD,-3.183865,51.485645
"Rose Bruford College,","DA15 9DF,",Lamorbey Park Burnt Oak Lane,0.106805,51.439004
"University of Salford,","M5 4WT,",CRESCENT,-2.270665,53.483558
"Writtle College,","CM1 3RR,",LORDSHIP ROAD,0.428134,51.737004
"London School of Economics & Political Science,","WC2A 2AE,",HOUGHTON STREET,-0.116707,51.513968
"Middlesex University,","NW4 4BT,",THE BURROUGHS,-0.228415,51.589717
"Open University(The),","MK7 6AA,",none,-0.709726,52.024924
"Southampton Solent University,","SO14 0YN,",EAST PARK TERRACE,-1.400157,50.907738
"Buckinghamshire New University,","HP11 2JZ,",QUEEN ALEXANDRA ROAD,-0.752021,51.627518
"University of York,","YO10 5DD,",none,-1.053553,53.948437
"University of Lincoln,","LN6 7TS,",CAMPUS WAY,-0.549237,53.228855
"University College London,","WC1E 6BT,",GOWER STREET,-0.133401,51.524774
"University of Brighton,","BN2 4AT,",LEWES ROAD,-0.119142,50.842448
"Loughborough University,","LE11 3TU,",none,-1.229467,52.764892
"Glyndwr University,","LL11 2AW,",MOLD ROAD,-3.00564,53.052979
"London School of Hygiene and Tropical Medicine,","WC1E 7HT,",KEPPEL STREET,-0.130661,51.520927
"Liverpool Hope University,","L16 9JD,",TAGGART AVENUE,-2.891936,53.391491
"University of Hertfordshire,","AL10 9AB,",COLLEGE LANE,-0.24215,51.752882
"University of Sheffield,","S10 2TN,",WESTERN BANK,-1.488709,53.381409
"University of Durham,","DH1 3LE,",STOCKTON ROAD,-1.571868,54.768149
"Nottingham Trent University,","NG1 4BU,",BURTON STREET,-1.152002,52.956383
"University of Strathclyde,","G1 1XQ,",RICHMOND STREET,-4.244586,55.861363
"The University of Chichester,","PO19 6PE,",COLLEGE LANE,-0.774409,50.844268
"Heriot-Watt University,","EH14 4AS,",none,-3.320697,55.909398
"London Business School,","NW1 4SA,",SUSSEX PLACE,-0.161353,51.526583
"University of Birmingham,","B15 2TT,",none,-1.930855,52.448986
"The University of Cumbria,","CA1 2HH,",FUSEHILL STREET,-2.921482,54.891124
"University of Exeter,","EX4 4PY,",STOCKER ROAD,-3.53437,50.735199
"Sheffield Hallam University,","S1 1WB,",POND STREET,-1.465255,53.379212
"University of Dundee,","DD1 4HN,",PERTH ROAD,-2.97848,56.4572
"Sruc,","EH9 3JG,",KING'S BUILDINGS WEST MAINS ROAD,-3.176533,55.921607
"Roehampton University,","SW15 5PJ,",ROEHAMPTON LANE,-0.245983,51.455119
"University of Sunderland,","SR1 3SD,",CHESTER ROAD,-1.391361,54.904502
"Anglia Ruskin University,","CM1 1SQ,",BISHOP HALL LANE,0.474311,51.741266
"Institute of Education, University of London,","WC1H 0AL,",BEDFORD WAY,-0.128481,51.523473
"Swansea University,","SA2 8PP,",SINGLETON PARK,-3.980649,51.609622
"Royal Holloway College and Bedford New College,","TW20 0EX,",EGHAM HILL,-0.567199,51.425323
"Royal College of Art(The),","SW7 2EU,",KENSINGTON GORE,-0.178449,51.501355
"Cranfield University,","MK43 0AL,",COLLEGE ROAD,-0.628735,52.073929
"University of Keele,","ST5 5BG,",none,-2.274598,53.003969
"Leeds Trinity University College,","LS18 5HD,",BROWNBERRIE LANE,-1.6481,53.848573
"King's College London,","WC2R 2LS,",STRAND,-0.116912,51.510734
"St George's Hospital Medical School,","SW17 0RE,",CRANMER TERRACE,-0.173355,51.427985
"Norwich University College of the Arts,","NR2 4SN,",REDWELL STREET,1.2966,52.630313
"Leeds College of Art,","LS2 9AQ,",BLENHEIM WALK,-1.55178,53.808463
"Aston University,","B4 7ET,",THE ASTON TRIANGLE,-1.890947,52.486651
"University of Chester,","CH1 4BJ,",PARKGATE ROAD,-2.898063,53.198657
"University of Aberdeen,","AB24 3FX,",REGENT WALK,-2.099129,57.165003
"The University of Manchester,","M13 9PL,",OXFORD ROAD,-2.233222,53.467943
"Royal Conservatoire of Scotland,","G2 3DB,",RENFREW STREET,-4.257632,55.86614
"University of Nottingham,","NG7 2RD,",UNIVERSITY PARK,-1.186477,52.941271
"Stranmillis University College,","BT9 5DY,",STRANMILLIS ROAD,-5.9352,54.5733
"University of Newcastle Upon Tyne,","NE1 7RU,",CLAREMONT ROAD,-1.615727,54.980327
"Bangor University,","LL57 2DG,",COLLEGE ROAD,-4.129505,53.229236
"University of St Mark & St John,","PL6 8BH,",DERRIFORD ROAD,-4.110286,50.421023
"The University of Buckingham,","MK18 1EG,",HUNTER STREET,-0.99182,51.996018
